origin,horizon_months,actual,flow,persistence,ar1,ar4,lo50,hi50,cover50,score50,lo80,hi80,cover80,score80,lo90,hi90,cover90,score90
2010-01-01,1,2.0942469426920107,2.272997920419462,2.275630613995368,2.254609601898712,2.348800413794114,,,,,,,,,,,,
2010-01-01,3,2.2564715397619834,2.6395692244826425,2.275630613995368,2.216496736321188,2.3393837901797214,,,,,,,,,,,,
2010-01-01,6,1.6241293977926266,2.4691053155484193,2.275630613995368,2.1679519353367875,2.238488145922311,,,,,,,,,,,,
2010-01-01,12,1.5478242497255406,2.0698493933477677,2.275630613995368,2.0953843870742817,2.10689966507844,,,,,,,,,,,,
2010-02-01,1,2.345004613388351,2.3869290070740656,2.0942469426920107,2.0840714089817167,1.9965902280160208,,,,,,,,,,,,
2010-02-01,3,2.184436086555455,2.557234790027211,2.0942469426920107,2.0656264985812336,1.9584269189867085,,,,,,,,,,,,
2010-02-01,6,1.4715150709874274,2.0584148340643758,2.0942469426920107,2.0421418919629564,1.9708948239233561,,,,,,,,,,,,
2010-02-01,12,1.8282165430838417,2.0028801572120467,2.0942469426920107,2.007059138968784,1.9927397519233987,,,,,,,,,,,,
2010-03-01,1,2.2564715397619834,2.3110221854321433,2.345004613388351,2.319966301753943,2.446387322483614,,,,,,,,,,,,
2010-03-01,3,1.550141802117649,1.9262551836783175,2.345004613388351,2.2745797904801632,2.4076643899633376,,,,,,,,,,,,
2010-03-01,6,1.409570015684824,2.040037699504224,2.345004613388351,2.216791805052625,2.2815171321097916,,,,,,,,,,,,
2010-03-01,12,2.088582555277294,1.9578619548601042,2.345004613388351,2.1304631460088297,2.12880908738328,,,,,,,,,,,,
2010-04-01,1,2.184436086555455,2.4173840187280073,2.2564715397619834,2.2367936509023436,2.1837519048071328,,,,,,,,,,,,
2010-04-01,3,1.6241293977926266,2.0521464671245018,2.2564715397619834,2.2011282797080964,2.122538054052445,,,,,,,,,,,,
2010-04-01,6,1.3492760529117458,1.7198786881728454,2.2564715397619834,2.155726977591072,2.0804061032374515,,,,,,,,,,,,
2010-04-01,12,2.457647468863683,2.044833062546128,2.2564715397619834,2.0879271241837407,2.042741016665541,,,,,,,,,,,,
2010-05-01,1,1.550141802117649,1.5169026281629814,2.184436086555455,2.1691298997437323,2.147234993587832,,,,,,,,,,,,
2010-05-01,3,1.4715150709874274,1.557090881814755,2.184436086555455,2.141389882358046,2.1059284941826433,,,,,,,,,,,,
2010-05-01,6,1.2987267301513439,1.2528094573103719,2.184436086555455,2.106081262183744,2.071858894469474,,,,,,,,,,,,
2010-05-01,12,2.728677786417656,1.8016793631079793,2.184436086555455,2.053363433956853,2.039548717691163,,,,,,,,,,,,
2010-06-01,1,1.6241293977926266,1.7481982505092764,1.550141802117649,1.5728680392447123,1.3050700329882243,,,,,,,,,,,,
2010-06-01,3,1.409570015684824,1.6361208609233155,1.550141802117649,1.6140379260908795,1.3293683698895125,,,,,,,,,,,,
2010-06-01,6,1.4668570526033822,1.4351805189965459,1.550141802117649,1.666402919774141,1.5485337395856467,,,,,,,,,,,,
2010-06-01,12,2.7502825656067436,2.1322569734238765,1.550141802117649,1.7444879129187802,1.8108289037697187,,,,,,,,,,,,
2010-07-01,1,1.4715150709874274,1.4290892641228086,1.6241293977926266,1.6423884114932024,1.7115954167377823,,,,,,,,,,,,
2010-07-01,3,1.3492760529117458,1.2266040163479164,1.6241293977926266,1.6754586199783041,1.8081383236869233,,,,,,,,,,,,
2010-07-01,6,1.5478242497255406,1.1849082729561657,1.6241293977926266,1.7175065007420447,1.882178474698612,,,,,,,,,,,,
2010-07-01,12,2.8351275789952597,2.03676924595783,1.6241293977926266,1.7801677794583686,1.9541329750906975,,,,,,,,,,,,
2010-08-01,1,1.409570015684824,1.5062551952870882,1.4715150709874274,1.4986257340511964,1.445516317951222,,,,,,,,,,,,
2010-08-01,3,1.2987267301513439,1.1679831690534954,1.4715150709874274,1.5477577476098965,1.5369572065821349,,,,,,,,,,,,
