path,inflation_instability,output_instability,stress,mean_rate
1524,0.3014054593076176,0.6028314171154138,0.022772001744244014,2.267857142857143
1990,0.3045981447225796,0.6477022676311079,0.0292990623831522,2.625
859,0.3092738457186053,0.5869517691594622,0.02535599363413185,2.4107142857142856
1634,0.3226864595893331,0.8063417333842418,0.02711460413974142,2.4107142857142856
780,0.3249133972969368,0.8422016400687088,0.02691803445025761,2.4464285714285716
1352,0.3267504770754299,1.0117827059463167,0.02749960151727837,2.517857142857143
707,0.34832857903822917,0.5455012330208681,0.021914081517967983,2.3035714285714284
1252,0.34945306150239847,0.733385667367471,0.023157914861221325,2.4464285714285716
1968,0.3494537687258467,1.0000274537110476,0.032136750108013076,2.6607142857142856
1558,0.3504266859811569,1.4348068873033784,0.04049499857344924,2.8035714285714284
1664,0.3557177230996863,0.6692146603723397,0.02987216210706728,2.5892857142857144
366,0.36210053000444126,0.8838498069164743,0.027877491986372797,2.4464285714285716
834,0.37095355879398567,1.3153445558215688,0.03762990715359912,2.8392857142857144
1281,0.3715958221013985,1.0044366899010562,0.02669836676864358,2.4107142857142856
1437,0.3744264444006432,1.2509152056510997,0.034604494148135725,2.6607142857142856
582,0.37819536260564135,1.2819318630017067,0.038993771319961026,2.875
662,0.38240686696050474,0.7836237300199929,0.030825123539901564,2.625
26,0.3833760133857073,0.5895483882824469,0.020719525379982874,2.1964285714285716
865,0.3843260746688607,0.7344507590391303,0.023534798452966108,2.3392857142857144
1308,0.38979384174319953,0.6387488978422523,0.023672099260114658,2.3035714285714284
1966,0.39186161863786195,0.4232423643199355,0.02089801059995299,2.3035714285714284
687,0.3939125722393579,1.218257753378725,0.03790122001190269,2.875
1914,0.4102262529424572,0.8798234086112828,0.024238618410595558,2.1964285714285716
427,0.412299731613573,0.8576349164743572,0.025807237347665078,2.3392857142857144
1405,0.42950435873265636,0.7855274886347035,0.02800693721954178,2.482142857142857
734,0.42952918354341646,1.4130376266622213,0.037167620702625984,2.767857142857143
1104,0.43586558529428554,1.3901324093776242,0.04114317167528851,2.9464285714285716
1490,0.4405214497898002,0.9818958757284397,0.024597918268257545,2.232142857142857
1468,0.445216752025182,0.733063487419036,0.021165593686761682,2.1964285714285716
507,0.446604732018373,1.2711571373704809,0.03210331018237869,2.5892857142857144
265,0.44684836952626267,1.18118565018758,0.033840056069711744,2.6607142857142856
414,0.45155275042542675,1.526939086448601,0.04332282463565766,2.9107142857142856
565,0.45170482002480083,0.754496533803875,0.021606468320964006,2.232142857142857
738,0.45347058831864795,1.8107430560574105,0.04316758201713129,2.8035714285714284
1779,0.4547798889345229,0.6952922169629686,0.02662536800714544,2.3035714285714284
1235,0.4567049266760156,0.7514353781834564,0.02324503349763082,2.3035714285714284
313,0.4572809731109942,0.9598001075004533,0.020799969443428337,2.125
916,0.46505671921327874,0.9933899706224845,0.02937145169375647,2.4107142857142856
1362,0.4657054942766364,0.519888239075562,0.021913986876747674,2.1964285714285716
1971,0.4686840182282914,1.2276757084618337,0.0321367196799168,2.517857142857143
467,0.47050164905537084,0.7441963020207982,0.022772066488401757,2.1607142857142856
1043,0.47618755219044795,1.2869451585509064,0.03425731536394325,2.5535714285714284
625,0.4844157227491909,0.8590020430036887,0.028300226417503148,2.4464285714285716
1972,0.48692957155444194,1.2253676871921333,0.038822249253216236,2.6964285714285716
1306,0.48922795570723193,1.1558519492434354,0.02793947783042377,2.3035714285714284
1857,0.4897825446677392,1.57775870055937,0.03945199439953582,2.8035714285714284
1467,0.49158200171744987,1.3117912379730643,0.030678131479844925,2.375
726,0.4922378095611762,0.7724783011901055,0.020626843662793843,2.017857142857143
1325,0.49356672953805936,1.1757781083973222,0.026729698572888295,2.3035714285714284
989,0.49439392849683655,1.0319950183825832,0.026532827874663274,2.267857142857143
954,0.49702147369656574,0.6575124224869093,0.020626905946937727,2.125
130,0.49741110254650484,1.3871997818292323,0.02950072929714015,2.375
1124,0.5017874915139506,1.2494600589273164,0.031982039198228486,2.482142857142857
183,0.5034224618331216,1.4280898434114289,0.03267532731290876,2.517857142857143
1709,0.5060228570618174,0.7037034982912838,0.020776505566862287,2.0892857142857144
868,0.5070775150664116,0.7824521584017808,0.024299692916487533,2.1964285714285716
813,0.5092516942053125,1.504009958896624,0.04042403458662726,2.8392857142857144
39,0.5135687543217543,0.7183518472193888,0.02186520527997981,2.0892857142857144
1199,0.5138565462708078,0.9710758135301207,0.03007240596367949,2.482142857142857
1103,0.5150107049432715,1.0608320763627084,0.03380403659909048,2.6607142857142856
462,0.516366627671567,0.8636238013050833,0.02640384436040301,2.3035714285714284
995,0.5167061720958857,0.6807902877727953,0.02545580303125669,2.3392857142857144
1958,0.5170086064186368,1.5035904389222408,0.04161313834953732,2.9107142857142856
1048,0.5187201050645647,0.9750199521926568,0.026917890369727412,2.482142857142857
1343,0.527839271132641,0.8708123987106429,0.026624729734127134,2.375
1421,0.5279891100461198,0.7883476996825266,0.027183121386290122,2.375
84,0.5280041573981923,0.7472638401346525,0.0235261912125073,2.3392857142857144
889,0.5289070833236237,1.0828162615003203,0.026158370210499795,2.267857142857143
693,0.528945098192376,1.462795677801956,0.0388374922731137,2.6964285714285716
263,0.5295376030727221,1.163623163765785,0.028578250256671166,2.3035714285714284
950,0.5299366094159282,0.8625773252558298,0.020562672812707003,2.017857142857143
786,0.5300923800957802,0.47700760344360704,0.02056267420331623,2.017857142857143
1982,0.5305541757368687,0.5768858617245628,0.02459765147343369,2.1964285714285716
487,0.5362323604338568,0.7730018336107689,0.02306915578836484,2.1607142857142856
592,0.5398133550638669,1.0752800848674686,0.030787806270200956,2.482142857142857
1606,0.5441419960732726,1.2817624937417538,0.03095113588185849,2.4464285714285716
193,0.5462705482906337,1.6694805662325587,0.03626287806676791,2.5892857142857144
302,0.5490864284637941,1.1340716666341089,0.024261957466324438,2.1964285714285716
710,0.5555752108301815,1.1750159634301434,0.03204349898463442,2.517857142857143
503,0.5556990924958776,1.5710355438858756,0.04330795148800051,2.767857142857143
1681,0.5574724720479266,0.8429942163769991,0.021792463757306067,2.0892857142857144
943,0.5594540628894507,2.057633291623373,0.049664367729261326,3.0892857142857144
937,0.5660683726653697,0.8693090087321503,0.024299896628078674,2.1607142857142856
1929,0.5680566097202255,1.284654775871479,0.035973669596056544,2.5535714285714284
1885,0.5707597877402119,0.9096520707071064,0.02191382703670146,2.125
1051,0.5716943319363704,0.6746622644875425,0.024476464668686415,2.0535714285714284
1198,0.573286299154739,1.2865978325591754,0.026235427608965682,2.267857142857143
1777,0.5735247076786941,1.2820953580014696,0.03327686504265809,2.4464285714285716
1827,0.576203750337652,0.8542116419709714,0.021865342993477956,2.125
972,0.5768820953197127,1.8520245477522805,0.047304915771124445,3.017857142857143
579,0.5773240926230273,0.8797623968141534,0.02557916235359198,2.3392857142857144
764,0.5775239825056633,0.9352455350557298,0.023270701211422704,2.1964285714285716
53,0.5775980221062261,1.794458299493626,0.05246636864685979,3.017857142857143
1999,0.5794371282868255,0.8704052784929527,0.024238325980235266,2.232142857142857
918,0.5834755723694612,1.4872900036316619,0.035997416589194926,2.5535714285714284
1157,0.5867172789654782,0.7882093509238899,0.02423846385525057,2.125
105,0.5881754339718199,1.0986474687215209,0.028850460410562627,2.232142857142857
1014,0.5897206825213258,0.9018631279690371,0.020482275284677946,1.9821428571428572
501,0.5903328898978504,0.6472235767912857,0.02158303396044155,2.125
329,0.5911448106157732,0.6758344964469117,0.023069408600226084,2.0892857142857144
931,0.5931426943660444,1.5735178918683395,0.031138587458618937,2.4107142857142856
1232,0.5937462036989233,1.3423642056673426,0.029390482631449787,2.3035714285714284
936,0.595430926253466,0.9472914425594456,0.029587147731135764,2.4464285714285716
1444,0.5955658171037002,2.248779251355254,0.04259502775783944,2.767857142857143
1010,0.5966189690146653,0.651920591064653,0.02069612812829095,2.017857142857143
1052,0.5977878770245064,1.2487140457386805,0.03016531125880262,2.3392857142857144
1949,0.601111180392807,1.6576243864133096,0.035134702545491156,2.4464285714285716
619,0.6013057286235262,0.8035298180761524,0.021792459541394138,1.9464285714285714
1031,0.6016906063797126,1.149784924839469,0.020696082263016224,1.9107142857142858
830,0.6027944830790761,1.7037559546592913,0.04571939762056336,2.767857142857143
1573,0.6053724121339135,0.9242869585955384,0.020684174465258765,2.017857142857143
253,0.6054568236103232,1.3094000647009456,0.033741252142250475,2.5535714285714284
82,0.6084087481042264,0.7537186180362043,0.021461456290977118,2.0535714285714284
689,0.6145223189406285,0.7551959060468428,0.02056266627689071,1.9821428571428572
1311,0.616059904532771,1.3242220499440558,0.03026908908731274,2.4107142857142856
1175,0.6167156594129598,1.6825893485214805,0.03549269452885266,2.5892857142857144
1015,0.6183120205022112,1.8127858454976777,0.03460483180230754,2.517857142857143
1111,0.6191241950422696,2.0862199267111645,0.049718536092152696,2.9107142857142856
1303,0.620128618535607,1.2102564940368203,0.02670665183800175,2.232142857142857
249,0.6202845699778134,0.9997467505845201,0.021285782555500697,2.0535714285714284
1393,0.6228913528659281,0.9306754802236384,0.020482275284677946,1.9821428571428572
741,0.6252942569016119,1.0741044777685007,0.026763055158600755,2.232142857142857
1063,0.628728146349495,1.1085391592441585,0.025368495537678528,2.1964285714285716
1073,0.6343902696352319,0.8763996486234826,0.020696112943104347,2.0535714285714284
215,0.6354721872627623,1.2387289152233463,0.028664862751398033,2.3392857142857144
448,0.6385962980581158,0.9628266419338388,0.022595989004031578,2.125
1299,0.6388512610788016,0.9070888776139717,0.02056266250392771,1.9107142857142858
888,0.6402169992178398,1.189457944297234,0.031609281981447065,2.375
1760,0.6414669388655215,0.7575011404147965,0.021675725657078725,2.0892857142857144
1917,0.6422169568585117,0.7093919748560578,0.028497625413570368,2.3035714285714284
1013,0.6426008698448828,1.2232319056428467,0.029390518477382627,2.232142857142857
1584,0.648317563969099,0.8385188600358976,0.021792321365414865,1.875
557,0.6485482661151447,0.8616725668644665,0.020482275284677946,1.9107142857142858
1794,0.6497199556741458,1.2547540308962535,0.028574501662781603,2.517857142857143
1113,0.6509878450273646,2.126083706130464,0.050402527003014036,3.017857142857143
506,0.6515926733798004,1.3080711569165553,0.02696038118117019,2.125
363,0.6525450990389909,0.5935306701728557,0.020482275284677946,1.875
1106,0.6536533183513138,1.0128884641842506,0.02613551540443935,2.125
320,0.6551877949227211,1.0628955474444557,0.021245000827201047,2.017857142857143
1647,0.6574139792752914,1.7722106736944827,0.037902386566938055,2.517857142857143
1633,0.6589371114718573,1.181173223812022,0.020897814851773326,2.017857142857143
1439,0.6593600940433868,0.7390691278495698,0.02798335615910568,2.4464285714285716
676,0.6599001848344254,1.566314232032199,0.04026808424529087,2.732142857142857
955,0.6609342380961987,0.8487196138147043,0.02068413918092928,1.9464285714285714
1854,0.6620095574711145,0.7933152837649546,0.020482275284677946,1.8392857142857142
1319,0.6634461677761927,0.6979288171887366,0.02060351460984879,1.9821428571428572
1608,0.6639539108197963,1.1005226132617447,0.020696181784551543,1.875
1960,0.6647410293547823,1.1800903665790818,0.02653276679346228,2.1964285714285716
477,0.6665933659637211,0.8565593840759702,0.020505645054731094,1.9464285714285714
117,0.6667148707578812,1.367803898618261,0.03199291219875571,2.4107142857142856
1038,0.6667345398661697,1.2659468464887613,0.035445884028169,2.625
1436,0.669620100601158,1.102066519294144,0.022771924921177075,2.017857142857143
1200,0.6696414211300175,1.3083765941660597,0.02191370568954583,2.017857142857143
873,0.6706658936616989,0.7820024545281238,0.022961833127280284,2.0892857142857144
1618,0.6713230337946702,1.2893324872961527,0.03016553566953255,2.232142857142857
815,0.6719397302073424,0.9682878400999608,0.021755418846472786,2.0892857142857144
1762,0.675592762873513,1.0301898662663898,0.021865319292325713,2.017857142857143
232,0.6768051302644935,1.082636629579534,0.021244774767051857,2.125
1861,0.6771309720166585,1.2748324908431932,0.02866500703167569,2.267857142857143
534,0.6779942436275063,0.8118863826631026,0.021698710762783967,2.125
1627,0.6802713712688396,1.0640325412012013,0.02459766819841027,2.017857142857143
1369,0.6847965240553773,1.4255802443055672,0.031181447470716064,2.4107142857142856
519,0.6873670952810568,1.0410444632167137,0.02306900394609089,1.9107142857142858
349,0.687625265602908,0.6350824912536633,0.020482275284677946,1.8392857142857142
398,0.6897917417326063,1.3374927332647033,0.03207983675099853,2.375
819,0.6900700145731888,0.7575612422004954,0.020482275284677946,1.8392857142857142
1332,0.691121354678163,1.3024796704839297,0.03341413090542257,2.3035714285714284
196,0.6952155303698332,0.9966883214048492,0.025455844853216125,2.0892857142857144
1656,0.6976906291462062,1.3360879969223776,0.03423156275016141,2.517857142857143
374,0.6978266425339137,0.8868912488226954,0.024598028302496966,2.1607142857142856
1508,0.6982773572031524,1.4163486593740287,0.02681708934178146,2.1964285714285716
1335,0.7011233507601385,1.8639304902807263,0.04361224679869849,2.767857142857143
1541,0.7019920314473517,0.9402622265139928,0.023190660967275893,2.0535714285714284
1188,0.7035312940037505,1.4659764224438603,0.02689783273311235,2.267857142857143
871,0.7040150249795492,1.1824676282216695,0.028850892036906262,2.267857142857143
715,0.7045193163155126,1.3982127654888874,0.029435382648481147,2.482142857142857
492,0.7064036080862998,0.8333641815939133,0.020482275284677946,1.7678571428571428
1110,0.7097463396828043,1.0736080760578133,0.029913298340960664,2.4464285714285716
1132,0.7113352122686978,1.4519410742868106,0.03268235158733968,2.3392857142857144
1778,0.7159582293365716,0.8857116196714292,0.02416008711999445,2.125
