origin,horizon,actual,persistence,ar1,ar4,core
2020-01-01,1,1.6749905845700095,1.7785713453302283,1.7872436489496748,1.891097247181489,1.757196329616745
2020-01-01,3,0.46139523353879625,1.7785713453302283,1.8044309341002174,1.9884622934158296,1.5516155779504697
2020-01-01,6,0.9183541968045433,1.7785713453302283,1.8298233035775702,2.0532770421396935,1.773243703254869
2020-01-01,12,1.5733552810323885,1.7785713453302283,1.87923999816009,2.1552176344295177,2.030196578230811
2020-02-01,1,1.1594612384289573,1.6749905845700095,1.6840735588667137,1.6467702464408944,1.5609140793103695
2020-02-01,3,0.4889655170470613,1.6749905845700095,1.7020758360269481,1.652294006309637,1.4707770533074216
2020-02-01,6,1.1508710511293132,1.6749905845700095,1.7286749788204785,1.7127284790312087,1.691463058631379
2020-02-01,12,1.825959303398635,1.6749905845700095,1.7804496792998974,1.839246723030753,1.825715481704833
2020-03-01,1,0.46139523353879625,1.1594612384289573,1.170509384240273,0.9499679657310626,0.8199798852016503
2020-03-01,3,0.7566677418227326,1.1594612384289573,1.192413296874462,0.8565868793185989,0.8240807606346365
2020-03-01,6,1.268276974339093,1.1594612384289573,1.2247937906343174,0.928559452748065,0.838173630254738
2020-03-01,12,2.634010081281457,1.1594612384289573,1.2878795680728143,1.1104957173765766,0.7851140254379959
2020-04-01,1,0.4889655170470613,0.46139523353879625,0.47452318542748867,0.17146026364890934,0.25302022558669707
2020-04-01,3,0.9183541968045433,0.46139523353879625,0.500564910483185,0.050949943636401235,0.09619327863988418
2020-04-01,6,1.1804908741609368,0.46139523353879625,0.5390978644705547,0.14738728530948875,-0.12308798340627675
2020-04-01,12,3.57559276125739,0.46139523353879625,0.614294836343477,0.38204886078911204,-0.053417449851325766
2020-05-01,1,0.7566677418227326,0.4889655170470613,0.5019901811871206,0.517277488797325,0.5557328503540828
2020-05-01,3,1.1508710511293132,0.4889655170470613,0.5278266251948803,0.6078441413002454,0.5123147496526971
2020-05-01,6,1.1792837426083884,0.4889655170470613,0.5660548692032744,0.7166449045370495,0.38615277367686274
2020-05-01,12,3.991723484546538,0.4889655170470613,0.6406538224457502,0.9124174673414086,0.7969914052843403
2020-06-01,1,0.9183541968045433,0.7566677418227326,0.7690043986177229,0.9076866699088771,0.8016513347589364
2020-06-01,3,1.268276974339093,0.7566677418227326,0.7934696356068301,1.0463810056801197,0.9025572904799998
2020-06-01,6,1.325695824486493,0.7566677418227326,0.8296531378355986,1.1445331284413307,0.6505133435158292
2020-06-01,12,4.215993096276831,0.7566677418227326,0.9002063569853052,1.3091226242423777,1.3277060734813095
2020-07-01,1,1.1508710511293132,0.9183541968045433,0.9301927510103465,1.0101800196000599,1.0304627823286856
2020-07-01,3,1.1804908741609368,0.9183541968045433,0.9536669322690132,1.1012629506897544,1.0247959150541759
2020-07-01,6,1.5733552810323885,0.9183541968045433,0.9883766725865353,1.1905195256056473,0.8030396335398132
2020-07-01,12,4.376054791451672,0.9183541968045433,1.0560281785870453,1.3513213492685106,1.5849177406742128
2020-08-01,1,1.268276974339093,1.1508710511293132,1.1619367978818071,1.2637671950979779,1.2823709523410187
2020-08-01,3,1.1792837426083884,1.1508710511293132,1.1838744322775383,1.3679752137958279,1.286068703004299
2020-08-01,6,1.825959303398635,1.1508710511293132,1.2163018853843854,1.4501854345764895,1.077438882310914
2020-08-01,12,4.4790841316208185,1.1508710511293132,1.2794690331971719,1.5927217145695616,1.8994556100006699
2020-09-01,1,1.1804908741609368,1.268276974339093,1.278905090444812,1.334930259496997,1.2114334522364303
2020-09-01,3,1.325695824486493,1.268276974339093,1.2999734005788723,1.4057440961692305,1.121872512901943
2020-09-01,6,2.634010081281457,1.268276974339093,1.331111587635723,1.4823297380082765,1.4680820725018027
2020-09-01,12,4.628634893600741,1.268276974339093,1.3917523979989375,1.6221827298993343,1.835908145518375
2020-10-01,1,1.1792837426083884,1.1804908741609368,1.1914086075335044,1.1555124827785093,1.2156406444669738
