origin,horizon,actual,persistence,ar1,ar4,core,energy,expectations
2010-01-01,1,2.0942469426920107,2.275630613995368,2.2845889859439232,2.3856174156799015,2.2894369757522908,2.352177995966402,2.325275823386211
2010-01-01,3,2.2564715397619834,2.275630613995368,2.3023341778812814,2.4856860157775693,2.7604255736008523,2.9462359833769725,2.828161886542791
2010-01-01,6,1.6241293977926266,2.275630613995368,2.3285285495669146,2.5559881298334064,2.788949822270502,3.2402874829188817,2.899722599125095
2010-01-01,12,1.5478242497255406,2.275630613995368,2.379428368961377,2.6581080402412796,2.8743367627328187,3.7312836484153014,2.9905060292375922
2010-02-01,1,2.345004613388351,2.0942469426920107,2.1039509296253263,2.021383785661437,2.391862854548163,2.4710025112596616,2.4508357005805967
2010-02-01,3,2.184436086555455,2.0942469426920107,2.1231750666238898,2.000187031708157,2.595333032252235,2.8856938679782167,2.7678162009858296
2010-02-01,6,1.4715150709874274,2.0942469426920107,2.151557472209225,2.0593477545361485,2.2695178194266292,2.909545038127494,2.564671326767103
2010-02-01,12,1.8282165430838417,2.0942469426920107,2.2067261132313063,2.1957441872075205,2.4105755289560413,3.7095772548313617,2.9302714011598017
2010-03-01,1,2.2564715397619834,2.345004613388351,2.353638841992532,2.462265955770433,2.360440744735143,2.383721098114131,2.3654436080194237
2010-03-01,3,1.550141802117649,2.345004613388351,2.3707411600773933,2.569633951874629,2.0574699340264657,2.2756157372725663,2.1544684668533556
2010-03-01,6,1.409570015684824,2.345004613388351,2.3959846060539833,2.6356289480364263,2.206090060299884,2.7301640839032064,2.419931015869318
2010-03-01,12,2.088582555277294,2.345004613388351,2.445029805213779,2.7285154060240937,2.3074946294657455,3.335551236604907,2.672905820839857
2010-04-01,1,2.184436086555455,2.2564715397619834,2.26547218561688,2.2358881787853875,2.364180245879271,2.4761147349486183,2.46853122342886
2010-04-01,3,1.6241293977926266,2.2564715397619834,2.2833011747077063,2.245924755368643,2.0747030331445906,2.399802588349053,2.35287131265314
2010-04-01,6,1.3492760529117458,2.2564715397619834,2.3096193875122535,2.3022056646645974,1.7683649066211264,2.4490295816048344,2.281284674750956
2010-04-01,12,2.457647468863683,2.2564715397619834,2.360760355453707,2.420237854619884,2.0855427035494576,3.3819467504711125,2.9855386672538122
2010-05-01,1,1.550141802117649,2.184436086555455,2.1937239881021133,2.1607262146069597,1.6190058093236097,1.642768482156784,1.6816574549035963
2010-05-01,3,1.4715150709874274,2.184436086555455,2.212122809022909,2.175281167036129,1.6199652490930072,1.811811019338091,1.954751056457254
2010-05-01,6,1.2987267301513439,2.184436086555455,2.239284193759565,2.234948372440561,1.2281284623707056,1.7022706763387216,1.9103695955160795
2010-05-01,12,2.728677786417656,2.184436086555455,2.2920706326858062,2.3583067191283793,1.5574185681828316,2.503726240745173,2.8104228686185593
2010-06-01,1,1.6241293977926266,1.550141802117649,1.561918217867918,1.286368440848304,1.667663508731303,1.7316567979905417,1.7493351106571022
2010-06-01,3,1.409570015684824,1.550141802117649,1.5852553554854225,1.1498258448288092,1.4801169061735888,1.677294450059469,1.707320954501855
2010-06-01,6,1.4668570526033822,1.550141802117649,1.6197283981187942,1.2160760243465607,1.1400177524535522,1.5969412399163871,1.5969222622104793
2010-06-01,12,2.7502825656067436,1.550141802117649,1.6867994726064595,1.4162194278397033,1.5079681124883497,2.3432204991645564,2.2860245269832427
2010-07-01,1,1.4715150709874274,1.6241293977926266,1.6356222499845128,1.6583031314464038,1.437778000300548,1.4906806402274155,1.4941699667193113
2010-07-01,3,1.3492760529117458,1.6241293977926266,1.6583962430724377,1.735160243915764,1.1479152424355938,1.3947893298154694,1.387762831393946
2010-07-01,6,1.5478242497255406,1.6241293977926266,1.6920344410844093,1.8228223547068325,0.9203742181952516,1.484532331535362,1.4216730861078588
2010-07-01,12,2.8351275789952597,1.6241293977926266,1.757470815475974,1.9782549635735094,1.409839801075188,2.4775968687995498,2.2624374794314286
2010-08-01,1,1.409570015684824,1.4715150709874274,1.483495132858672,1.4354681321401825,1.4549810677780186,1.503019472497705,1.5048622747099272
2010-08-01,3,1.2987267301513439,1.4715150709874274,1.507237766129651,1.4496869355071715,1.0481710547171934,1.2564309410321541,1.2413125811576073
2010-08-01,6,1.8282165430838417,1.4715150709874274,1.5423145572430812,1.534748799084387,1.1306890107049767,1.5810480117189998,1.5272136669854508
2010-08-01,12,2.9332852406381624,1.4715150709874274,1.6105769307277042,1.7114620967054357,1.5492467510917038,2.3296488170505176,2.143964378173788
2010-09-01,1,1.3492760529117458,1.409570015684824,1.4217134348768017,1.3950742569146601,1.139012834452323,1.2052161977694453,1.1590513094733326
2010-09-01,3,1.4668570526033822,1.409570015684824,1.4457813904274803,1.431383128591484,1.0275621227472935,1.2735806679238704,1.102896087823057
2010-09-01,6,2.088582555277294,1.409570015684824,1.4813426790266306,1.5210861568714593,0.990783667700097,1.475083843625114,1.1173116956971951
2010-09-01,12,2.974354612639362,1.409570015684824,1.5505614710650046,1.6987663253045993,1.4281199475552264,2.287747534184921,1.5086255630708734
2010-10-01,1,1.2987267301513439,1.3492760529117458,1.3615697414426475,1.342141917403916,1.2804840790392942,1.3218742448987137,1.3109765396337878
2010-10-01,3,1.5478242497255406,1.3492760529117458,1.3859371308231112,1.3819683678543533,1.2991564014863246,1.4493423740581293,1.3990808079601267
2010-10-01,6,2.457647468863683,1.3492760529117458,1.4219447935330254,1.4737840948934247,1.5678429135774146,1.8329887928849524,1.7235879326090917
2010-10-01,12,2.6579926418442144,1.3492760529117458,1.4920462494014188,1.6545038688394227,2.0583798387945316,2.4056955806160607,2.110419996979795
2010-11-01,1,1.4668570526033822,1.2987267301513439,1.311134230537428,1.2946883247073226,1.4169477361128686,1.4587408315121237,1.4732314588390987
2010-11-01,3,1.8282165430838417,1.2987267301513439,1.3357286475423606,1.3373990891307206,1.502081460099015,1.6345907412732588,1.6860140087864257
2010-11-01,6,2.728677786417656,1.2987267301513439,1.3720753367030867,1.4309896845968024,1.7449480547396452,1.9475340345576684,2.0413947237679406
2010-11-01,12,2.66347239578493,1.2987267301513439,1.442849235876652,1.6144337519071414,2.1188625304151456,2.3709489863483304,2.4264677843880995
2010-12-01,1,1.5478242497255406,1.4668570526033822,1.4787198765033103,1.5568793538898125,1.404229655370897,1.4375352204687968,1.4507986181113652
2010-12-01,3,2.088582555277294,1.4668570526033822,1.5022311412827731,1.6610977757225944,1.5925960690453602,1.7194588968086038,1.757359957844535
2010-12-01,6,2.7502825656067436,1.4668570526033822,1.536968525083035,1.7556888993938922,2.0879672673789904,2.2914338116566304,2.348366831204989
2010-12-01,12,2.4952333835051723,1.4668570526033822,1.6045788124561462,1.9150805059314318,2.2731593928249345,2.557060645619482,2.5170888039261725
2011-01-01,1,1.8282165430838417,1.5478242497255406,1.559389099806016,1.6054203970509069,1.800177588627173,1.8271803936838102,1.8659529460289748
2011-01-01,3,2.457647468863683,1.5478242497255406,1.5823084147848474,1.680394402728334,1.9845230369798659,2.0206008624140965,2.158936299260043
2011-01-01,6,2.8351275789952597,1.5478242497255406,1.616167790194597,1.7682501018923713,2.5676926207840136,2.559730531906754,2.820094515909673
2011-01-01,12,2.5368603049969884,1.5478242497255406,1.682057247124625,1.9257973867651548,2.7337720525481966,2.5652903888436693,2.9442921658849794
2011-02-01,1,2.088582555277294,1.8282165430838417,1.8387636884965675,1.9642826771248132,1.8817540190844901,1.8756683981124962,1.9107676224808452
